Geneid	HER21	HER22	HER23	NonTNBC1	NonTNBC2	NonTNBC3	Normal1	Normal2	Normal3	TNBC1	TNBC2	TNBC3
ENSG00000117069	44	854	98	118	47	51	17	111	106	194	130	667
ENSG00000125703	158	273	197	256	126	149	53	150	153	238	131	150
ENSG00000285041	1	0	0	2	2	0	0	0	0	10	1	1
ENSG00000285808	6	0	2	4	0	2	0	0	0	3	0	1
ENSG00000229440	0	0	0	0	1	1	0	0	0	0	1	0
ENSG00000234144	0	1	0	0	0	0	0	0	0	1	1	0
ENSG00000277670	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000227466	9	63	10	6	4	3	0	0	0	39	9	2
ENSG00000230498	3	19	6	21	6	2	0	0	2	22	3	7
ENSG00000285782	2	0	5	5	7	9	0	1	0	16	4	1
ENSG00000162618	276	256	250	359	213	286	874	2859	4923	182	226	198
ENSG00000224493	0	0	3	1	2	0	0	0	0	4	0	1
ENSG00000131233	2	5	0	1	3	2	0	0	1	0	0	0
ENSG00000272371	0	1	1	0	1	1	0	1	1	1	4	1
ENSG00000287647	4	0	1	0	5	6	4	4	2	9	1	1
ENSG00000229225	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000230863	2	2	4	6	3	6	0	0	0	14	1	3
ENSG00000225598	1	0	1	0	1	0	0	0	0	2	1	1
ENSG00000286455	0	0	0	2	0	0	0	0	0	3	1	5
ENSG00000225087	15	1	2	0	5	8	0	1	1	16	4	7
ENSG00000280378	6	10	10	7	6	6	3	17	12	10	5	4
ENSG00000230053	0	0	0	0	1	0	0	0	0	3	1	1
ENSG00000137941	156	149	357	208	305	372	59	169	203	240	101	146
ENSG00000224326	1	1	1	1	0	0	0	0	0	1	1	0
ENSG00000286548	20	53	39	13	25	16	9	15	15	65	30	13
ENSG00000066135	274	524	241	541	264	307	157	429	538	308	319	307
ENSG00000272094	0	0	0	0	1	4	0	1	3	9	1	2
ENSG00000228853	1	0	0	1	1	1	0	0	0	1	4	2
ENSG00000232453	5	7	2	34	6	3	8	7	22	18	7	8
ENSG00000260386	27	0	38	20	28	31	1	1	2	41	17	14
ENSG00000284895	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117174	489	899	268	252	306	398	193	681	1258	336	261	209
ENSG00000237413	0	1	0	1	4	1	0	1	2	24	6	6
ENSG00000184313	4	8	1	16	19	13	4	4	9	41	15	21
ENSG00000284645	0	0	1	5	1	4	1	0	0	16	5	8
ENSG00000225446	2	4	0	0	0	1	1	0	0	8	3	1
ENSG00000288543	2	30	6	6	4	1	0	1	2	11	0	12
ENSG00000122420	79	6	35	99	14	92	40	63	143	68	54	123
ENSG00000284240	0	0	1	5	6	10	0	0	0	26	3	8
ENSG00000236290	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000143013	619	2104	707	934	239	403	1636	2280	3007	964	2739	821
ENSG00000226084	454	482	562	3269	1218	1523	1687	3656	2281	390	921	418
ENSG00000134748	445	825	478	1237	507	547	712	1184	1803	516	534	742
ENSG00000142892	375	640	423	947	318	549	479	980	981	974	420	612
ENSG00000219102	3	6	1	25	8	16	8	11	9	13	10	7
ENSG00000287743	0	1	0	2	1	3	1	1	1	5	1	3
ENSG00000229332	0	0	0	0	1	1	0	0	0	2	0	1
ENSG00000227937	0	0	0	0	0	1	0	0	0	1	0	0
ENSG00000229752	0	0	0	1	2	1	0	1	1	2	2	0
ENSG00000237505	7	21	9	10	20	15	3	71	6	66	48	25
ENSG00000285462	0	0	1	1	2	5	0	0	0	9	0	1
ENSG00000233216	0	0	0	3	3	1	0	0	0	6	2	2
ENSG00000197273	1	0	0	1	3	1	0	0	0	10	2	5
ENSG00000226804	0	1	0	1	0	0	0	0	0	1	1	1
ENSG00000230728	1	0	0	1	6	5	0	0	0	0	2	6
ENSG00000232846	5	11	4	6	5	1	1	0	0	5	4	1
ENSG00000230787	0	2	0	2	2	0	0	5	1	7	7	2
ENSG00000116641	1031	3509	1211	1588	928	957	478	1373	1772	1646	961	1087
ENSG00000237453	1	14	1	2	0	2	0	0	0	2	4	4
ENSG00000172260	84	6	52	144	159	248	86	446	496	60	91	120
ENSG00000285473	0	1	0	0	0	2	0	0	0	2	0	1
ENSG00000237959	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000231364	11	0	5	1	6	2	0	0	0	17	1	2
ENSG00000234578	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000137944	322	178	244	494	165	412	412	635	529	265	225	171
ENSG00000229505	1	0	0	2	2	1	0	0	0	3	0	0
ENSG00000228187	1	4	5	1	3	4	0	1	0	3	1	1
ENSG00000182183	31	11	16	17	11	16	0	0	7	30	18	13
ENSG00000236407	0	0	0	0	0	2	0	0	0	5	2	2
ENSG00000271949	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227062	1	1	0	0	0	0	0	0	0	0	0	0
ENSG00000067334	385	832	530	620	529	542	3186	3632	6868	763	502	627
ENSG00000235011	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226938	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000213559	1	0	1	0	0	3	0	1	0	7	3	2
ENSG00000287587	0	0	0	8	1	2	0	1	0	6	0	5
ENSG00000142949	4664	7895	4035	13341	5960	7305	4675	7841	8713	3406	7400	7517
ENSG00000116133	2197	1089	2389	13204	1905	3307	4986	3078	4486	1870	1743	1259
ENSG00000232882	18	15	15	18	10	19	11	24	36	16	13	17
ENSG00000171502	129	178	87	92	50	63	3	23	14	53	47	44
ENSG00000116157	64	144	83	513	71	67	71	337	126	60	331	103
ENSG00000143036	76	123	116	208	98	158	231	234	281	238	76	300
ENSG00000230817	29	1	3	4	4	4	0	0	0	12	3	4
ENSG00000065243	1104	1725	1359	1762	1248	1364	505	2191	3148	1564	1084	1155
